source,target,weigh,bootscore
week sample obtained,ruminococcaceae_bacterium_d16,0.990099021,0.61
week sample obtained,coprococcus_comes,0.990099021,0.45
week sample obtained,eubacterium_hallii,0.990099021,0.39
week sample obtained,bilophila_unclassified,0.990099021,0.26
week sample obtained,veillonella_dispar,0.99009902,0.12
bilophila_unclassified,bilophila_unclassified,0.0099009813,1
ruminococcaceae_bacterium_d16,ruminococcaceae_bacterium_d16,0.0099009805,1
coprococcus_comes,coprococcus_comes,0.0099009803,1
parasutterella_excrementihominis,parasutterella_excrementihominis,0.0099009802,1
streptococcus_thermophilus,streptococcus_thermophilus,0.00990098,1
clostridium_asparagiforme,clostridium_asparagiforme,0.0099009798,1
lachnospiraceae_bacterium_3_1_57faa_ct1,lachnospiraceae_bacterium_3_1_57faa_ct1,0.0099009796,1
lachnospiraceae_bacterium_5_1_63faa,lachnospiraceae_bacterium_5_1_63faa,0.0099009796,1
clostridiales_bacterium_1_7_47faa,clostridiales_bacterium_1_7_47faa,0.0099009796,1
clostridiaceae_bacterium_jc118,clostridiaceae_bacterium_jc118,0.0099009796,1
erysipelotrichaceae_bacterium_6_1_45,erysipelotrichaceae_bacterium_6_1_45,0.0099009796,1
eubacterium_hallii,eubacterium_hallii,0.009900979,1
veillonella_dispar,veillonella_dispar,0.0099009738,1
week sample obtained,roseburia_intestinalis,0.0005716018,1
week sample obtained,faecalibacterium_prausnitzii,0.0003364062,0.9
week sample obtained,ruminococcus_gnavus,0.0002587651,1
week sample obtained,veillonella_unclassified,0.0002587651,1
week sample obtained,klebsiella_pneumoniae,0.0002447779,1
week sample obtained,sutterella_wadsworthensis,0.0002122019,1
week sample obtained,bacteroides_vulgatus,0.0002069314,1
week sample obtained,veillonella_atypica,0.0001367334,1
week sample obtained,eubacterium_ramulus,0.0001367334,0.92
week sample obtained,eubacterium_rectale,0.0001670292,0.71
week sample obtained,bacteroides_stercoris,0.0001330152,0.88
week sample obtained,bacteroides_fragilis,0.000147986,0.78
week sample obtained,bacteroides_uniformis,0.0001185798,0.85
week sample obtained,akkermansia_muciniphila,0.0000968297,0.94
week sample obtained,bacteroides_thetaiotaomicron,0.0000905064,0.89
week sample obtained,eubacterium_siraeum,0.0000884153,0.79
week sample obtained,veillonella_parvula,0.0000708999,0.82
week sample obtained,bacteroides_caccae,0.0000670042,0.86
week sample obtained,streptococcus_parasanguinis,0.0001367334,0.38
week sample obtained,eubacterium_eligens,0.0000433322,1
week sample obtained,oscillibacter_unclassified,0.000041665,1
week sample obtained,parabacteroides_unclassified,0.0000383727,1
week sample obtained,prevotella_copri,0.0000725738,0.45
week sample obtained,bifidobacterium_longum,0.0000332464,0.89
week sample obtained,bifidobacterium_adolescentis,0.0000276041,1
week sample obtained,clostridium_clostridioforme,0.0000216728,0.88
week sample obtained,roseburia_unclassified,0.0000122858,0.97
week sample obtained,barnesiella_intestinihominis,0.0000133026,0.88
week sample obtained,c2likevirus_unclassified,0.0000708999,0.13
week sample obtained,dorea_longicatena,0.0000082439,1
week sample obtained,escherichia_unclassified,0.0000082439,0.89
week sample obtained,lachnospiraceae_bacterium_3_1_46faa,0.0000051835,1
week sample obtained,alistipes_onderdonkii,0.0000092456,0.47
week sample obtained,clostridium_hathewayi,0.0000045173,0.89
week sample obtained,haemophilus_parainfluenzae,0.0000133027,0.3
week sample obtained,ruminococcus_lactaris,0.0000030433,1
week sample obtained,coprobacillus_unclassified,0.0000030433,1
week sample obtained,lachnospiraceae_bacterium_8_1_57faa,0.0000030433,1
week sample obtained,anaerostipes_hadrus,0.0000030433,1
week sample obtained,clostridium_leptum,0.0000030433,0.99
week sample obtained,flavonifractor_plautii,0.0000030433,0.96
week sample obtained,ruminococcus_callidus,0.0000021083,1
week sample obtained,lachnospiraceae_bacterium_7_1_58faa,0.0000021083,1
week sample obtained,alistipes_putredinis,0.0000082439,0.15
week sample obtained,collinsella_aerofaciens,0.0000021083,0.47
week sample obtained,odoribacter_splanchnicus,0.0000021083,0.26
week sample obtained,clostridium_citroniae,0,0.21
week sample obtained,streptococcus_salivarius,0,0.36
week sample obtained,ruminococcus_obeum,0,0.32
week sample obtained,propionibacterium_acnes,0,0.59
week sample obtained,mitsuokella_unclassified,0,0.1
week sample obtained,lachnospiraceae_bacterium_2_1_58faa,0,0.81
week sample obtained,dorea_formicigenerans,0,0.27
week sample obtained,coprococcus_catus,0,0.57
week sample obtained,holdemania_filiformis,0,0.11
week sample obtained,anaerotruncus_colihominis,0,0.18
week sample obtained,holdemania_unclassified,0,0.25
week sample obtained,dorea_unclassified,0,0.98
week sample obtained,anaerotruncus_unclassified,0,1
week sample obtained,eggerthella_unclassified,0,1
